chamber,district_code,state_abbrev,affiliation,twitter_handle,bioname,dim1,dim2,log_likelihood,geo_mean_probability,number_of_votes,number_of_errors
House,33,TX,D,RepVeasey,"VEASEY, Marc",-0.412,0.307,-50.24992,0.87204,367,18
House,34,TX,D,RepFilemonVela,"VELA, Filemon",-0.306,0.431,-68.07808,0.82942,364,31
House,7,NY,D,NydiaVelazquez,"VELêÅZQUEZ, Nydia M.",-0.545,-0.355,-28.18655,0.92489,361,17
House,1,IN,D,RepVisclosky,"VISCLOSKY, Peter",-0.402,0.249,-35.12931,0.90603,356,11
House,2,MO,R,RepAnnWagner,"WAGNER, Ann",0.458,0.218,-14.42486,0.95996,353,5
House,7,MI,R,RepWalberg,"WALBERG, Tim",0.529,0.025,-24.18281,0.93623,367,17
House,2,OR,R,repgregwalden,"WALDEN, Greg",0.341,-0.045,-22.72037,0.93965,365,10
House,6,NC,R,RepMarkWalker,"WALKER, Bradley Mark",0.607,-0.009,-17.71218,0.9512,354,7
House,2,IN,R,RepWalorski,"WALORSKI, Jackie",0.432,0.377,-13.24334,0.96417,363,5
House,45,CA,R,RepMimiWalters,"WALTERS, Mimi",0.393,0.228,-15.2969,0.95928,368,3
House,1,MN,D,RepTimWalz,"WALZ, Tim",-0.273,0.14,-45.17954,0.88297,363,19
Senate,0,VA,D,MarkWarner,"WARNER, Mark",-0.196,-0.024,-27.43632,0.84766,166,12
Senate,0,MA,D,SenWarren,"WARREN, Elizabeth",-0.75,-0.296,-6.43903,0.96283,170,3
House,23,FL,D,DWStweets,"WASSERMAN SCHULTZ, Debbie",-0.432,0.095,-25.92898,0.92975,356,19
House,43,CA,D,RepMaxineWaters,"WATERS, Maxine",-0.66,-0.082,-24.64728,0.93274,354,10
House,12,NJ,D,RepBonnie,"WATSON COLEMAN, Bonnie",-0.592,-0.282,-27.57982,0.92722,365,11
House,14,TX,R,TXRandy14,"WEBER, Randy",0.713,0.041,-24.07579,0.93443,355,17
House,11,FL,R,RepWebster,"WEBSTER, Daniel A.",0.471,0.016,-22.01708,0.94051,359,10
House,1,VT,D,PeterWelch,"WELCH, Peter",-0.41,-0.323,-25.05716,0.93185,355,9
House,2,OH,R,RepBradWenstrup,"WENSTRUP, Brad",0.577,0.179,-15.60123,0.95827,366,6
House,4,AR,R,RepWesterman,"WESTERMAN, Bruce Eugene",0.531,0.387,-15.19576,0.95944,367,5
Senate,0,RI,D,SenWhitehouse,"WHITEHOUSE, Sheldon",-0.424,-0.255,-15.05029,0.91527,170,5
Senate,0,MS,R,SenatorWicker,"WICKER, Roger F.",0.376,0.365,-8.90909,0.94865,169,2
House,25,TX,R,RepRWilliams,"WILLIAMS, Roger",0.606,0.169,-11.88414,0.96788,364,2
House,2,SC,R,RepJoeWilson,"WILSON, Addison Graves (Joe)",0.548,0.09,-12.70434,0.96579,365,3
House,24,FL,D,RepWilson,"WILSON, Frederica",-0.476,-0.009,-16.60669,0.95366,350,6
House,1,VA,R,RobWittman,"WITTMAN, Robert J.",0.413,-0.02,-30.39334,0.91925,361,14
House,3,AR,R,rep_stevewomack,"WOMACK, Steve",0.332,0.594,-16.82525,0.95531,368,4
House,7,GA,R,RepRobWoodall,"WOODALL, Rob",0.651,-0.291,-35.67577,0.90639,363,21
Senate,0,OR,D,RonWyden,"WYDEN, Ronald Lee",-0.314,-0.406,-26.87703,0.85297,169,11
House,3,KY,D,RepJohnYarmuth,"YARMUTH, John",-0.379,-0.245,-20.48551,0.94528,364,6
House,3,KS,R,RepKevinYoder,"YODER, Kevin",0.563,0.002,-33.03465,0.91392,367,23
House,3,FL,R,RepTedYoho,"YOHO, Ted",0.698,-0.444,-24.0552,0.93588,363,9
House,3,IA,R,RepDavidYoung,"YOUNG, David",0.435,-0.045,-42.91946,0.88992,368,14
House,1,AK,R,repdonyoung,"YOUNG, Donald Edwin",0.278,0.006,-66.43042,0.82977,356,26
Senate,0,IN,R,SenToddYoung,"YOUNG, Todd",0.489,0.058,-14.37689,0.91891,170,3
House,1,NY,R,RepLeeZeldin,"ZELDIN, Lee M",0.338,-0.069,-26.38718,0.93044,366,7
House,1,MT,R,RepRyanZinke,"ZINKE, Ryan",0.412,-0.097,-0.05424,0.99699,18,0
